cycle,d_gc,d_copied,d_host,seg_waf,cum_waf,ec_range,d_range,cov,weargap_per_gc
1,189209,21693302,28504444,1.7610,1.720,106,106,0.608,0.001
2,198731,22978249,29486920,1.7793,1.749,139,33,0.425,0.001
3,198264,22849777,29492076,1.7748,1.757,206,67,0.380,0.001
4,197856,22853207,29380740,1.7778,1.762,234,28,0.336,0.001
5,198510,22822823,29583828,1.7715,1.764,259,25,0.319,0.000
6,197763,22895326,29314140,1.7810,1.767,300,41,0.270,0.000
7,197534,22825859,29322986,1.7784,1.768,354,54,0.261,0.000
8,200797,23170825,29839666,1.7765,1.769,389,35,0.265,0.000
9,200478,23152318,29773860,1.7776,1.770,409,20,0.239,0.000
10,201173,23146710,29963031,1.7725,1.770,462,53,0.248,0.000
11,187772,22190047,27381753,1.8104,1.774,503,41,0.238,0.000
12,198502,23020597,29383956,1.7834,1.774,533,30,0.236,0.000
