cycle,d_gc,d_copied,d_host,seg_waf,cum_waf,ec_range,d_range,cov,weargap_per_gc
1,192858,19782293,31380812,1.6304,1.599,100,100,0.565,0.001
2,182466,21321026,26850019,1.7941,1.686,137,37,0.444,0.001
3,200300,22891774,29987345,1.7634,1.712,197,60,0.357,0.000
4,197001,22683848,29324424,1.7735,1.727,229,32,0.319,0.000
5,196271,22661848,29153676,1.7773,1.737,249,20,0.271,0.000
6,195968,22747145,28988520,1.7847,1.744,282,33,0.260,0.000
7,197016,22827802,29184396,1.7822,1.750,303,21,0.234,0.000
8,197932,22856351,29397684,1.7775,1.753,361,58,0.231,0.000
9,196346,22738673,29096628,1.7815,1.756,386,25,0.224,0.000
10,199309,22837781,29779824,1.7669,1.757,396,10,0.214,0.000
11,198819,22785416,29702827,1.7671,1.758,436,40,0.209,0.000
12,187783,22027923,27546821,1.7997,1.761,455,19,0.203,0.000
